GROUP,SUBJECT,PHASE,HAND,TRIAL,TRIAL_ABS,TARGET,ROT,SIG_MP,SIG_EP,HA_INIT,HA_MID,HA_END
7,1,ADAPTATION,RH,128,138,0,-23,1,1,10.9805719,11.5559651,22.13693591
7,1,ADAPTATION,RH,129,139,0,-9,1,1,8.639517813,11.45448218,8.205438105
7,1,ADAPTATION,RH,130,140,0,-5,1,1,6.953453272,12.67148645,6.632467734
7,1,ADAPTATION,RH,131,141,0,-10,1,1,11.04357152,12.46631701,10.57455516
7,1,ADAPTATION,RH,132,142,0,-6,1,1,12.6244803,12.43675782,8.773457456
7,1,ADAPTATION,RH,133,143,0,-12,1,1,10.40226132,18.48598204,12.80349766
7,1,ADAPTATION,RH,134,144,0,-17,1,1,7.37128506,14.59402274,12.9416488
7,1,ADAPTATION,RH,135,145,0,-15,1,1,8.136996271,15.90913223,16.28834453
7,1,ADAPTATION,RH,136,146,0,-15,1,1,10.46195687,15.89165397,14.58203457
7,1,ADAPTATION,RH,137,147,0,-8,1,1,9.199791917,12.01236051,9.544098046
7,1,ADAPTATION,RH,138,148,0,-14,1,1,11.14789279,11.64194953,14.26509968
7,1,ADAPTATION,RH,139,149,0,-12,1,1,7.150760375,9.306029333,12.56933651
7,1,ADAPTATION,RH,140,150,0,-17,1,1,12.20637956,10.72213187,15.37201333
7,1,ADAPTATION,RH,141,151,0,-13,1,1,8.577634143,12.1291767,10.92809432
7,1,ADAPTATION,RH,142,152,0,-19,1,1,7.750033712,12.54433859,16.84286199
7,1,ADAPTATION,RH,143,153,0,-15,1,1,6.841852759,13.40706926,13.60458264
7,1,ADAPTATION,RH,144,154,0,-9,1,1,10.92233307,13.09172557,11.60652593
7,1,ADAPTATION,RH,145,155,0,-5,1,1,8.557354068,10.42486851,11.76249199
7,1,ADAPTATION,RH,146,156,0,-10,1,1,8.700144794,12.17828554,9.311668348
7,1,ADAPTATION,RH,147,157,0,-12,1,1,8.512643847,16.34274948,13.90316605
7,1,ADAPTATION,RH,148,158,0,-8,1,1,7.206380552,12.28766994,10.08565541
7,1,ADAPTATION,RH,149,159,0,-9,1,1,7.887560426,11.07318223,10.28857084
7,1,ADAPTATION,RH,150,160,0,-22,1,1,9.084391375,12.43570883,21.23696247
7,1,ADAPTATION,RH,151,161,0,-19,1,1,13.67993055,13.64703593,18.43777294
7,1,ADAPTATION,RH,152,162,0,-15,1,1,8.606039507,12.2215849,14.73149757
7,1,ADAPTATION,RH,153,163,0,-15,1,1,10.97479575,12.16795487,11.92819053
7,1,ADAPTATION,RH,154,164,0,-18,1,1,7.511396187,12.36169072,15.20573226
7,1,ADAPTATION,RH,155,165,0,-15,1,1,11.15961299,15.46801063,17.29364857
7,1,ADAPTATION,RH,156,166,0,-16,1,1,11.22322631,14.79393496,16.88489204
7,1,ADAPTATION,RH,157,167,0,-8,1,1,10.88002504,11.62070615,10.22186219
7,1,ADAPTATION,RH,158,168,0,-14,1,1,10.20984844,11.65476664,16.43549217
7,1,ADAPTATION,RH,159,169,0,-17,1,1,5.833815101,9.679222853,16.94065315
7,1,ADAPTATION,RH,160,170,0,-14,1,1,9.218509063,15.47522593,13.95610988
7,1,ADAPTATION,RH,161,171,0,-15,1,1,10.72187994,13.01575162,13.95687156
7,1,ADAPTATION,RH,162,172,0,-11,1,1,5.917832911,12.76986901,10.54561758
7,1,ADAPTATION,RH,163,173,0,-13,1,1,8.715813686,13.64267365,12.91163978
7,1,ADAPTATION,RH,164,174,0,-18,1,1,11.96587552,10.69060579,13.80879652
7,1,ADAPTATION,RH,165,175,0,-10,1,1,9.65536784,11.47733185,10.26061704
7,1,ADAPTATION,RH,166,176,0,-13,1,1,12.31743745,13.72609271,15.83394594
7,1,ADAPTATION,RH,167,177,0,-14,1,1,8.945057556,12.73431104,13.50403778
7,1,ADAPTATION,RH,168,178,0,-15,1,1,12.11587842,9.266301941,14.95461595
7,1,ADAPTATION,RH,169,179,0,-9,1,1,9.974868289,11.87608632,10.65578817
7,1,ADAPTATION,RH,170,180,0,-12,1,1,11.02843613,13.98664025,16.76234351
7,1,ADAPTATION,RH,171,181,0,-18,1,1,6.805035036,15.63341275,14.77448868
7,1,ADAPTATION,RH,172,182,0,-3,1,1,6.745944641,13.68021309,2.904002081
7,1,ADAPTATION,RH,173,183,0,-13,1,1,10.69812992,13.81798389,14.41218171
7,1,ADAPTATION,RH,174,184,0,-11,1,1,9.020358505,12.58350021,13.27926251
7,1,ADAPTATION,RH,175,185,0,-11,1,1,6.103690574,13.99593493,10.55543651
7,1,ADAPTATION,RH,176,186,0,-17,1,1,8.864120828,14.6883715,14.31337235
7,1,ADAPTATION,RH,177,187,0,-7,1,1,9.075279866,11.80309422,8.276563916
7,1,ADAPTATION,RH,178,188,0,-11,1,1,8.092895993,15.76310457,10.2335961
7,1,ADAPTATION,RH,179,189,0,-11,1,1,7.324773496,10.32220499,12.66118481
7,1,ADAPTATION,RH,180,190,0,-7,1,1,10.27786139,13.59781319,9.074836118
7,1,ADAPTATION,RH,181,191,0,-11,1,1,10.52143666,13.24734167,5.014742185
7,1,ADAPTATION,RH,182,192,0,-19,1,1,8.260963704,17.05190376,17.93189824
7,1,ADAPTATION,RH,183,193,0,-12,1,1,12.52913591,13.12859017,10.46867851
7,1,ADAPTATION,RH,184,194,0,-7,1,1,8.922464385,20.28713576,7.19312454
7,1,ADAPTATION,RH,185,195,0,-7,1,1,5.95145315,13.25376038,9.146449051
7,1,ADAPTATION,RH,186,196,0,-11,1,1,9.974154912,12.3835026,10.46591978
7,1,ADAPTATION,RH,187,197,0,-19,1,1,11.57101912,18.54092739,15.03528227
7,1,ADAPTATION,RH,188,198,0,-8,1,1,6.16409973,13.83415156,9.071385726
7,1,ADAPTATION,RH,189,199,0,-12,1,1,13.72948033,13.37752695,10.98104218
7,1,ADAPTATION,RH,190,200,0,-11,1,1,9.408354789,14.20925091,10.86060365
7,1,ADAPTATION,RH,191,201,0,-7,1,1,8.359102362,11.91908497,5.374368029
7,1,ADAPTATION,RH,192,202,0,-10,1,1,10.58738701,11.01863544,12.77616874
7,1,ADAPTATION,RH,193,203,0,-27,1,1,8.95603099,12.68322409,23.27737227
7,1,ADAPTATION,RH,194,204,0,-19,1,1,11.94948533,14.14450181,17.98026451
7,1,ADAPTATION,RH,195,205,0,-15,1,1,12.72074393,16.32712032,12.34720644
7,1,ADAPTATION,RH,196,206,0,-17,1,1,10.95457025,16.48961872,15.94679539
7,1,ADAPTATION,RH,197,207,0,-11,1,1,10.08358361,15.03992339,14.33385483
7,1,ADAPTATION,RH,198,208,0,-11,1,1,6.702689954,16.50647684,11.60747768
7,1,ADAPTATION,RH,199,209,0,-15,1,1,8.596445799,19.40071354,17.02653073
7,1,ADAPTATION,RH,200,210,0,-7,1,1,10.18228465,15.44658083,9.91357304
7,2,ADAPTATION,RH,1,11,0,-11,1,1,-3.353836624,2.280271158,8.686257608
7,2,ADAPTATION,RH,2,12,0,-13,1,1,-0.720448348,0.811323598,10.13894717
7,2,ADAPTATION,RH,3,13,0,-12,1,1,2.172989848,4.543946213,8.96312037
7,2,ADAPTATION,RH,4,14,0,-10,1,1,-0.219628011,0.389994321,10.1250534
7,2,ADAPTATION,RH,5,15,0,-3,1,1,1.004059152,2.435172529,4.111290697
7,2,ADAPTATION,RH,6,16,0,-8,1,1,3.406389406,1.744014932,4.212493707
7,2,ADAPTATION,RH,7,17,0,-13,1,1,3.407828844,2.676693526,13.490071
7,2,ADAPTATION,RH,8,18,0,-20,1,1,3.466854308,8.113487346,16.08790768
7,2,ADAPTATION,RH,9,19,0,-11,1,1,8.293110989,3.945668666,10.7989696
7,2,ADAPTATION,RH,10,20,0,-11,1,1,4.918679338,3.740418888,10.420471
7,2,ADAPTATION,RH,11,21,0,-15,1,1,2.371816129,6.910205498,14.97077283
7,2,ADAPTATION,RH,12,22,0,-8,1,1,3.970568899,4.393860323,5.35787764
7,2,ADAPTATION,RH,13,23,0,-10,1,1,6.327923759,5.871915884,8.429996774
7,2,ADAPTATION,RH,14,24,0,-10,1,1,7.749889704,6.522044783,8.234189812
7,2,ADAPTATION,RH,15,25,0,-14,1,1,5.620214449,3.829155215,14.84243835
7,2,ADAPTATION,RH,16,26,0,-15,1,1,2.807278814,5.026707431,17.32918877
7,2,ADAPTATION,RH,17,27,0,-14,1,1,5.84136053,9.777213192,11.25583876
7,2,ADAPTATION,RH,18,28,0,-16,1,1,5.708928493,6.322324741,14.39325132
7,2,ADAPTATION,RH,19,29,0,-14,1,1,5.720387191,8.020209482,9.247622085
7,2,ADAPTATION,RH,20,30,0,-9,1,1,4.656040886,8.900822024,8.088290453
7,2,ADAPTATION,RH,21,31,0,-21,1,1,4.417562023,7.619780468,15.50088629
